Game,Season,Date,Round,Home_Team,Home_Points,Away_Team,Away_Points,Winner,Home_Points_By,Away_Points_By,Home_Points_Against,Away_Points_Against,Home_Performance,Away_Performance,home_perf_1,away_perf_1,home_perf_2,away_perf_2,home_perf_3,away_perf_3,home_perf_4,away_perf_4,home_perf_5,away_perf_5,Home_Points_For_1,Away_Points_For_1,Home_Points_Against_1,Away_Points_Against_1,Home_Points_For_2,Away_Points_For_2,Home_Points_Against_2,Away_Points_Against_2,Home_Points_For_3,Away_Points_For_3,Home_Points_Against_3,Away_Points_Against_3,Home_Points_For_4,Away_Points_For_4,Home_Points_Against_4,Away_Points_Against_4,Home_Points_For_5,Away_Points_For_5,Home_Points_Against_5,Away_Points_Against_5,Home_Rank,Away_Rank
11728,2000,2000-03-08,R1,Richmond,94,Melbourne,92,Home,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
11729,2000,2000-03-09,R1,Essendon,156,Port Adelaide,62,Home,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
11730,2000,2000-03-10,R1,North Melbourne,111,West Coast,154,Away,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
11731,2000,2000-03-11,R1,Adelaide,108,Footscray,131,Away,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
11732,2000,2000-03-11,R1,Fremantle,107,Geelong,129,Away,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
11733,2000,2000-03-12,R1,St Kilda,100,Sydney,134,Away,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
11734,2000,2000-03-13,R1,Carlton,152,Brisbane Lions,112,Home,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
11735,2000,2000-03-13,R1,Hawthorn,86,Collingwood,140,Away,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
11736,2000,2000-03-16,R2,Essendon,130,Richmond,87,Home,156.0,94.0,-62.0,-92.0,2.0,2.0,2.0,2.0,,,,,,,,,156.0,94.0,-62.0,-92.0,,,,,,,,,,,,,,,,,1.0,1.0
11737,2000,2000-03-17,R2,Melbourne,145,North Melbourne,120,Home,92.0,111.0,-94.0,-154.0,0.0,0.0,0.0,0.0,,,,,,,,,92.0,111.0,-94.0,-154.0,,,,,,,,,,,,,,,,,2.0,2.0
11738,2000,2000-03-18,R2,Geelong,139,St Kilda,99,Home,129.0,100.0,-107.0,-134.0,2.0,0.0,2.0,0.0,,,,,,,,,129.0,100.0,-107.0,-134.0,,,,,,,,,,,,,,,,,1.0,2.0
11739,2000,2000-03-18,R2,Port Adelaide,87,Fremantle,125,Away,62.0,107.0,-156.0,-129.0,0.0,0.0,0.0,0.0,,,,,,,,,62.0,107.0,-156.0,-129.0,,,,,,,,,,,,,,,,,2.0,2.0
11740,2000,2000-03-19,R2,Carlton,154,Hawthorn,112,Home,152.0,86.0,-112.0,-140.0,2.0,0.0,2.0,0.0,,,,,,,,,152.0,86.0,-112.0,-140.0,,,,,,,,,,,,,,,,,1.0,2.0
11741,2000,2000-03-19,R2,Collingwood,103,Adelaide,92,Home,140.0,108.0,-86.0,-131.0,2.0,0.0,2.0,0.0,,,,,,,,,140.0,108.0,-86.0,-131.0,,,,,,,,,,,,,,,,,1.0,2.0
11742,2000,2000-03-19,R2,Footscray,110,Brisbane Lions,139,Away,131.0,112.0,-108.0,-152.0,2.0,0.0,2.0,0.0,,,,,,,,,131.0,112.0,-108.0,-152.0,,,,,,,,,,,,,,,,,1.0,2.0
11743,2000,2000-03-19,R2,West Coast,70,Sydney,82,Away,154.0,134.0,-111.0,-100.0,2.0,2.0,2.0,2.0,,,,,,,,,154.0,134.0,-111.0,-100.0,,,,,,,,,,,,,,,,,1.0,1.0
11744,2000,2000-03-24,R3,Richmond,134,North Melbourne,170,Away,181.0,231.0,-222.0,-299.0,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,,87.0,120.0,-130.0,-145.0,90.5,115.5,-111.0,-149.5,,,,,,,,,,,,,2.0,3.0
11745,2000,2000-03-25,R3,Hawthorn,110,Brisbane Lions,103,Home,198.0,251.0,-294.0,-262.0,0.0,2.0,0.0,2.0,0.0,1.0,,,,,,,112.0,139.0,-154.0,-110.0,99.0,125.5,-147.0,-131.0,,,,,,,,,,,,,3.0,2.0
11746,2000,2000-03-25,R3,Adelaide,100,Geelong,111,Away,200.0,268.0,-234.0,-206.0,0.0,4.0,0.0,2.0,0.0,2.0,,,,,,,92.0,139.0,-103.0,-99.0,100.0,134.0,-117.0,-103.0,,,,,,,,,,,,,3.0,1.0
11747,2000,2000-03-25,R3,St Kilda,116,West Coast,116,Draw,199.0,224.0,-273.0,-193.0,0.0,2.0,0.0,0.0,0.0,1.0,,,,,,,99.0,70.0,-139.0,-82.0,99.5,112.0,-136.5,-96.5,,,,,,,,,,,,,3.0,2.0
11748,2000,2000-03-26,R3,Collingwood,160,Carlton,87,Home,243.0,306.0,-178.0,-224.0,4.0,4.0,2.0,2.0,2.0,2.0,,,,,,,103.0,154.0,-92.0,-112.0,121.5,153.0,-89.0,-112.0,,,,,,,,,,,,,1.0,1.0
11749,2000,2000-03-26,R3,Footscray,141,Port Adelaide,94,Home,241.0,149.0,-247.0,-281.0,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,,110.0,87.0,-139.0,-125.0,120.5,74.5,-123.5,-140.5,,,,,,,,,,,,,2.0,3.0
11750,2000,2000-03-26,R3,Sydney,126,Melbourne,114,Home,216.0,237.0,-170.0,-214.0,4.0,2.0,2.0,2.0,2.0,1.0,,,,,,,82.0,145.0,-70.0,-120.0,108.0,118.5,-85.0,-107.0,,,,,,,,,,,,,1.0,2.0
11751,2000,2000-03-26,R3,Fremantle,88,Essendon,124,Away,232.0,286.0,-216.0,-149.0,2.0,4.0,2.0,2.0,1.0,2.0,,,,,,,125.0,130.0,-87.0,-87.0,116.0,143.0,-108.0,-74.5,,,,,,,,,,,,,2.0,1.0
11752,2000,2000-03-31,R4,North Melbourne,104,Geelong,99,Home,401.0,379.0,-433.0,-306.0,2.0,6.0,2.0,2.0,1.0,2.0,0.6666666666666666,2.0,,,,,170.0,111.0,-134.0,-100.0,145.0,125.0,-139.5,-99.5,133.66666666666666,126.33333333333333,-144.33333333333334,-102.0,,,,,,,,,4.0,1.0
11753,2000,2000-04-01,R4,Footscray,98,Carlton,59,Home,382.0,393.0,-341.0,-384.0,4.0,4.0,2.0,0.0,1.0,1.0,1.3333333333333333,1.3333333333333333,,,,,141.0,87.0,-94.0,-160.0,125.5,120.5,-116.5,-136.0,127.33333333333333,131.0,-113.66666666666667,-128.0,,,,,,,,,2.0,2.0
11754,2000,2000-04-01,R4,Hawthorn,90,Essendon,137,Away,308.0,410.0,-397.0,-237.0,2.0,6.0,2.0,2.0,1.0,2.0,0.6666666666666666,2.0,,,,,110.0,124.0,-103.0,-88.0,111.0,127.0,-128.5,-87.5,102.66666666666667,136.66666666666666,-132.33333333333334,-79.0,,,,,,,,,4.0,1.0
11755,2000,2000-04-01,R4,Sydney,101,Collingwood,106,Away,342.0,403.0,-284.0,-265.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,126.0,160.0,-114.0,-87.0,104.0,131.5,-92.0,-89.5,114.0,134.33333333333334,-94.66666666666667,-88.33333333333333,,,,,,,,,1.0,1.0
11756,2000,2000-04-01,R4,West Coast,187,Adelaide,73,Home,340.0,300.0,-309.0,-345.0,3.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,,,,,116.0,100.0,-116.0,-111.0,93.0,96.0,-99.0,-107.0,113.33333333333333,100.0,-103.0,-115.0,,,,,,,,,3.0,6.0
11757,2000,2000-04-02,R4,Richmond,87,Fremantle,88,Away,315.0,320.0,-392.0,-340.0,2.0,2.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,,,,,134.0,88.0,-170.0,-124.0,110.5,106.5,-150.0,-105.5,105.0,106.66666666666667,-130.66666666666666,-113.33333333333333,,,,,,,,,4.0,4.0
11758,2000,2000-04-02,R4,Melbourne,165,St Kilda,75,Home,351.0,315.0,-340.0,-389.0,2.0,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,0.3333333333333333,,,,,114.0,116.0,-126.0,-116.0,129.5,107.5,-123.0,-127.5,117.0,105.0,-113.33333333333333,-129.66666666666666,,,,,,,,,4.0,5.0
11759,2000,2000-04-02,R4,Port Adelaide,149,Brisbane Lions,106,Home,243.0,354.0,-422.0,-372.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,,,,,94.0,103.0,-141.0,-110.0,90.5,121.0,-133.0,-110.0,81.0,118.0,-140.66666666666666,-124.0,,,,,,,,,6.0,4.0
11760,2000,2000-04-07,R5,Footscray,110,Collingwood,118,Away,480.0,509.0,-400.0,-366.0,6.0,8.0,2.0,2.0,2.0,2.0,1.3333333333333333,2.0,1.5,2.0,,,98.0,106.0,-59.0,-101.0,119.5,133.0,-76.5,-94.0,116.33333333333333,123.0,-97.33333333333333,-93.33333333333333,120.0,127.25,-100.0,-91.5,,,,,2.0,1.0
11761,2000,2000-04-08,R5,Essendon,123,Carlton,99,Home,547.0,452.0,-327.0,-482.0,8.0,4.0,2.0,0.0,2.0,0.0,2.0,0.6666666666666666,2.0,1.0,,,137.0,59.0,-90.0,-98.0,130.5,73.0,-89.0,-129.0,130.33333333333334,100.0,-88.33333333333333,-123.33333333333333,136.75,113.0,-81.75,-120.5,,,,,1.0,4.0
11762,2000,2000-04-08,R5,Brisbane Lions,122,Adelaide,92,Home,460.0,373.0,-521.0,-532.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5,0.0,,,106.0,73.0,-149.0,-187.0,104.5,86.5,-129.5,-149.0,116.0,88.33333333333333,-123.0,-133.66666666666666,115.0,93.25,-130.25,-133.0,,,,,5.0,7.0
11763,2000,2000-04-08,R5,Fremantle,75,Melbourne,106,Away,408.0,516.0,-427.0,-415.0,4.0,4.0,2.0,2.0,1.0,1.0,1.3333333333333333,1.3333333333333333,1.0,1.0,,,88.0,165.0,-87.0,-75.0,88.0,139.5,-105.5,-100.5,100.33333333333333,141.33333333333334,-99.33333333333333,-107.0,102.0,129.0,-106.75,-103.75,,,,,4.0,4.0
11764,2000,2000-04-09,R5,Geelong,162,West Coast,81,Home,478.0,527.0,-410.0,-382.0,6.0,5.0,0.0,2.0,1.0,1.5,1.3333333333333333,1.0,1.5,1.25,,,99.0,187.0,-104.0,-73.0,105.0,151.5,-102.0,-94.5,116.33333333333333,124.33333333333333,-101.0,-90.33333333333333,119.5,131.75,-102.5,-95.5,,,,,2.0,3.0
11765,2000,2000-04-09,R5,North Melbourne,128,Sydney,120,Home,505.0,443.0,-532.0,-390.0,4.0,6.0,2.0,0.0,2.0,1.0,1.3333333333333333,1.3333333333333333,1.0,1.5,,,104.0,101.0,-99.0,-106.0,137.0,113.5,-116.5,-110.0,131.33333333333334,103.0,-126.0,-96.66666666666667,126.25,110.75,-133.0,-97.5,,,,,4.0,2.0
11766,2000,2000-04-09,R5,St Kilda,84,Richmond,110,Away,390.0,402.0,-554.0,-480.0,1.0,2.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.25,0.5,,,75.0,87.0,-165.0,-88.0,95.5,110.5,-140.5,-129.0,96.66666666666667,102.66666666666667,-140.0,-129.33333333333334,97.5,100.5,-138.5,-120.0,,,,,6.0,5.0
11767,2000,2000-04-09,R5,Port Adelaide,74,Hawthorn,113,Away,392.0,398.0,-528.0,-534.0,2.0,2.0,2.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5,,,149.0,90.0,-106.0,-137.0,121.5,100.0,-123.5,-120.0,110.0,104.0,-124.0,-131.33333333333334,98.0,99.5,-132.0,-133.5,,,,,5.0,5.0
11768,2000,2000-04-14,R6,Footscray,81,Essendon,144,Away,590.0,670.0,-518.0,-426.0,6.0,10.0,0.0,2.0,1.0,2.0,1.3333333333333333,2.0,1.0,2.0,1.2,2.0,110.0,123.0,-118.0,-99.0,104.0,130.0,-88.5,-94.5,116.33333333333333,128.0,-90.33333333333333,-92.33333333333333,114.75,128.5,-102.5,-91.0,118.0,134.0,-103.6,-85.2,3.0,1.0
11769,2000,2000-04-15,R6,Carlton,169,Port Adelaide,78,Home,551.0,466.0,-605.0,-641.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.5,0.5,0.8,0.4,99.0,74.0,-123.0,-113.0,79.0,111.5,-110.5,-109.5,81.66666666666667,105.66666666666667,-127.0,-120.0,99.75,101.0,-123.25,-121.25,110.2,93.2,-121.0,-128.2,5.0,6.0
11770,2000,2000-04-15,R6,Collingwood,82,North Melbourne,114,Away,627.0,633.0,-476.0,-652.0,10.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,2.0,1.2,118.0,128.0,-110.0,-120.0,112.0,116.0,-105.5,-109.5,128.0,134.0,-99.33333333333333,-117.66666666666667,121.75,130.5,-97.5,-124.5,125.4,126.6,-95.2,-130.4,1.0,3.0
11771,2000,2000-04-15,R6,St Kilda,66,Brisbane Lions,105,Away,474.0,582.0,-664.0,-613.0,1.0,4.0,0.0,2.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.25,1.0,0.2,0.8,84.0,122.0,-110.0,-92.0,79.5,114.0,-137.5,-120.5,91.66666666666667,110.33333333333333,-130.33333333333334,-117.0,93.5,117.5,-132.5,-115.25,94.8,116.4,-132.8,-122.6,7.0,5.0
11772,2000,2000-04-15,R6,West Coast,178,Fremantle,61,Home,608.0,483.0,-544.0,-533.0,5.0,4.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.75,1.0,1.0,0.8,81.0,75.0,-162.0,-106.0,134.0,81.5,-117.5,-96.5,128.0,83.66666666666667,-117.0,-105.66666666666667,113.5,94.0,-108.25,-101.0,121.6,96.6,-108.8,-106.6,4.0,5.0
11773,2000,2000-04-16,R6,Sydney,106,Richmond,112,Away,563.0,512.0,-518.0,-564.0,6.0,4.0,0.0,2.0,0.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,1.2,0.8,120.0,110.0,-128.0,-84.0,110.5,98.5,-117.0,-86.0,115.66666666666667,110.33333333333333,-116.0,-114.0,107.25,104.5,-104.5,-118.0,112.6,102.4,-103.6,-112.8,3.0,5.0
11774,2000,2000-04-16,R6,Geelong,109,Melbourne,84,Home,640.0,622.0,-491.0,-490.0,8.0,6.0,2.0,2.0,1.0,2.0,1.3333333333333333,1.3333333333333333,1.5,1.5,1.6,1.2,162.0,106.0,-81.0,-75.0,130.5,135.5,-92.5,-75.0,124.0,128.33333333333334,-95.0,-92.0,127.75,132.5,-96.0,-99.0,128.0,124.4,-98.2,-98.0,2.0,3.0
11775,2000,2000-04-16,R6,Adelaide,143,Hawthorn,57,Home,465.0,511.0,-654.0,-608.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,1.3333333333333333,0.0,1.0,0.0,0.8,92.0,113.0,-122.0,-74.0,82.5,101.5,-154.5,-105.5,88.33333333333333,104.33333333333333,-140.0,-104.66666666666667,89.25,106.25,-130.75,-117.0,93.0,102.2,-130.8,-121.6,8.0,5.0
11776,2000,2000-04-22,R7,Hawthorn,123,Footscray,92,Home,568.0,671.0,-751.0,-662.0,4.0,6.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8,0.8,57.0,81.0,-143.0,-144.0,85.0,95.5,-108.5,-131.0,86.66666666666667,96.33333333333333,-118.0,-107.0,92.5,107.5,-114.25,-103.75,96.4,108.0,-122.2,-110.8,6.0,5.0
11777,2000,2000-04-22,R7,Sydney,99,Geelong,108,Away,669.0,749.0,-630.0,-575.0,6.0,10.0,0.0,2.0,0.0,2.0,0.0,1.3333333333333333,0.5,1.5,0.8,1.6,106.0,109.0,-112.0,-84.0,113.0,135.5,-120.0,-82.5,109.0,123.33333333333333,-115.33333333333333,-89.66666666666667,113.25,120.25,-115.0,-92.25,107.0,124.0,-106.0,-93.6,5.0,2.0
11778,2000,2000-04-22,R7,St Kilda,117,North Melbourne,129,Away,540.0,747.0,-769.0,-734.0,1.0,8.0,0.0,2.0,0.0,2.0,0.0,2.0,0.25,2.0,0.2,1.6,66.0,114.0,-105.0,-82.0,75.0,121.0,-107.5,-101.0,75.0,115.33333333333333,-126.66666666666667,-100.33333333333333,85.25,129.0,-124.0,-108.75,88.0,127.2,-127.0,-116.0,8.0,3.0
11779,2000,2000-04-23,R7,Port Adelaide,91,Adelaide,98,Away,544.0,608.0,-810.0,-711.0,2.0,2.0,0.0,2.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.4,0.4,78.0,143.0,-169.0,-57.0,76.0,117.5,-141.0,-89.5,100.33333333333333,102.66666666666667,-129.33333333333334,-122.0,98.75,102.0,-132.25,-119.25,96.4,100.0,-130.8,-116.0,7.0,7.0
11780,2000,2000-04-23,R7,Melbourne,138,West Coast,77,Home,706.0,786.0,-599.0,-605.0,6.0,7.0,0.0,2.0,1.0,1.0,1.3333333333333333,1.3333333333333333,1.0,1.25,1.2,1.0,84.0,178.0,-109.0,-61.0,95.0,129.5,-92.0,-111.5,118.33333333333333,148.66666666666666,-86.33333333333333,-98.66666666666667,117.25,140.5,-96.25,-103.0,122.8,126.4,-101.0,-98.8,5.0,4.0
11781,2000,2000-04-24,R7,Richmond,69,Carlton,120,Away,624.0,720.0,-670.0,-683.0,6.0,6.0,2.0,2.0,2.0,1.0,1.3333333333333333,0.6666666666666666,1.0,0.5,0.8,0.8,112.0,169.0,-106.0,-78.0,111.0,134.0,-95.0,-100.5,103.0,109.0,-92.66666666666667,-99.66666666666667,110.75,103.5,-112.0,-114.75,106.0,113.6,-115.6,-114.2,5.0,5.0
11782,2000,2000-04-25,R7,Collingwood,100,Essendon,140,Away,709.0,814.0,-590.0,-507.0,10.0,12.0,0.0,2.0,1.0,2.0,1.3333333333333333,2.0,1.5,2.0,1.6,2.0,82.0,144.0,-114.0,-81.0,100.0,133.5,-112.0,-90.0,102.0,134.66666666666666,-108.33333333333333,-90.0,116.5,132.0,-103.0,-89.5,113.8,131.6,-100.8,-89.0,2.0,1.0
11783,2000,2000-04-25,R7,Fremantle,111,Brisbane Lions,100,Home,544.0,687.0,-711.0,-679.0,4.0,6.0,0.0,2.0,0.0,2.0,0.6666666666666666,1.3333333333333333,0.5,1.0,0.8,1.2,61.0,105.0,-178.0,-66.0,68.0,113.5,-142.0,-79.0,74.66666666666667,111.0,-123.66666666666667,-102.33333333333333,78.0,109.0,-123.75,-104.25,87.4,115.0,-116.4,-105.4,6.0,5.0
