Season,Home_Team,Away_Team,Home_Win_Percentage,Away_Win_Percentage,Home_Avg_Points_For,Away_Avg_Points_For,Home_Avg_Points_Conceded,Away_Avg_Points_Conceded,Home_Avg_Points_Differential,Away_Avg_Points_Differential,Home_Last5_Win_Percentage,Away_Last5_Win_Percentage,Home_Last5_Avg_Points_For,Away_Last5_Avg_Points_For,Home_Last5_Avg_Points_Conceded,Away_Last5_Avg_Points_Conceded,Home_Last5_Avg_Points_Differential,Away_Last5_Avg_Points_Differential,Winner
2000,Richmond,Melbourne,50.0,50.0,90.0,90.0,90.0,90.0,0.0,0.0,50.0,50.0,90.0,90.0,90.0,90.0,0.0,0.0,Home
2000,Essendon,Port Adelaide,50.0,50.0,93.0,93.0,93.0,93.0,0.0,0.0,50.0,50.0,90.0,93.0,93.0,93.0,0.0,0.0,Home
2000,North Melbourne,West Coast,50.0,50.0,101.0,101.0,101.0,101.0,0.0,0.0,50.0,50.0,90.0,101.0,101.0,101.0,0.0,0.0,Away
2000,Adelaide,Footscray,50.0,50.0,111.5,111.5,111.5,111.5,0.0,0.0,50.0,50.0,90.0,111.5,111.5,111.5,0.0,0.0,Away
2000,Fremantle,Geelong,50.0,50.0,113.5,113.5,113.5,113.5,0.0,0.0,50.0,50.0,90.0,113.5,113.5,113.5,0.0,0.0,Away
2000,St Kilda,Sydney,50.0,50.0,114.4,114.4,114.4,114.4,0.0,0.0,50.0,50.0,90.0,114.4,114.4,114.4,0.0,0.0,Away
2000,Carlton,Brisbane Lions,50.0,50.0,114.83,114.83,114.83,114.83,0.0,0.0,50.0,50.0,90.0,114.83,114.83,114.83,0.0,0.0,Home
2000,Hawthorn,Collingwood,50.0,50.0,117.29,117.29,117.29,117.29,0.0,0.0,50.0,50.0,90.0,117.29,117.29,117.29,0.0,0.0,Away
2000,Essendon,Richmond,100.0,50.0,156.0,94.0,62.0,92.0,94.0,2.0,100.0,100.0,156.0,94.0,62.0,92.0,94.0,2.0,Home
2000,Melbourne,North Melbourne,50.0,50.0,92.0,111.0,94.0,154.0,-2.0,-43.0,0.0,0.0,92.0,111.0,94.0,154.0,-2.0,-43.0,Home
2000,Geelong,St Kilda,50.0,50.0,129.0,100.0,107.0,134.0,22.0,-34.0,100.0,0.0,129.0,100.0,107.0,134.0,22.0,-34.0,Home
2000,Port Adelaide,Fremantle,50.0,50.0,62.0,107.0,156.0,129.0,-94.0,-22.0,0.0,0.0,62.0,107.0,156.0,129.0,-94.0,-22.0,Away
2000,Carlton,Hawthorn,100.0,50.0,152.0,86.0,112.0,140.0,40.0,-54.0,100.0,0.0,152.0,86.0,112.0,140.0,40.0,-54.0,Home
2000,Collingwood,Adelaide,50.0,50.0,140.0,108.0,86.0,131.0,54.0,-23.0,100.0,0.0,140.0,108.0,86.0,131.0,54.0,-23.0,Home
